bin,gtdb_d,gtdb_p,gtdb_c,gtdb_o,gtdb_f,unrestored total,restored total,natural total,unrestored,restored,natural,bin_all_R1_A_D1_MG_per,bin_all_R1_B_D1_MG_per,bin_all_R2_A_D1_MG_per,bin_all_R2_B_D1_MG_per,bin_all_R2_C_D1_MG_per,bin_all_R1_A_D2_MG_per,bin_all_R1_B_D2_MG_per,bin_all_R1_C_D2_MG_per,bin_all_R2_B_D2_MG_per,bin_all_R1_A_H2O_MG_per,bin_all_R1_B_H2O_MG_per,bin_all_R2_B_H2O_MG_per,bin_all_R2_C_H2O_MG_per,bin_all_R2_restored_C_black_MG_per,bin_all_R2_restored_D_shore_MG_per,bin_all_R2_restored_H2O_MG_per,bin_all_R2A_A_D1_MG_per,bin_all_R2A_B_D1_MG_per,bin_all_R2A_C_D1_MG_per,bin_all_R2A_A_D2_MG_per,bin_all_R2A_B_D2_MG_per,bin_all_R2A_C_D2_MG_per,bin_all_R2A_A_H2O_MG_per,bin_all_R2A_B_H2O_MG_per,bin_all_R2A_C_H2O_MG_per,bin_all_SF2_B_D1_MG_per,bin_all_SF2_C_D1_MG_per,bin_all_SF2_A_D2_MG_per,bin_all_SF2_B_D2_MG_per,bin_all_SF2_C_D2_MG_per,bin_all_SF2_A_H2O_MG_per,bin_all_SF2_B_H2O_MG_per,bin_all_SF2_C_H2O_MG_per
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_metabat.8.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,2.37%,0.00%,0.01%,1.07%,0.00%,0.01%,0.01%,0.11%,0.03%,0.44%,1.07%,0.05%,0.02%,0.03%,0.60%,0.00%,0.00%,0.00%,0.00%,2.07%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.18.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,4.47%,0.00%,0.01%,1.02%,0.00%,0.01%,0.45%,0.55%,0.15%,0.31%,0.21%,0.53%,0.76%,1.02%,0.49%,0.00%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.27.contigs,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__Desulfobacteraceae,4.50%,0.02%,0.00%,1.00%,0.01%,0.00%,0.46%,1.00%,0.09%,0.85%,0.82%,0.68%,0.10%,0.11%,0.38%,0.00%,0.01%,0.00%,0.00%,1.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.16.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Woeseiales,f__Woeseiaceae,2.97%,0.01%,0.01%,0.99%,0.00%,0.00%,0.15%,0.48%,0.21%,0.15%,0.24%,0.23%,0.99%,0.21%,0.31%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.9.contigs,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__DSM-16054,f__Sediminispirochaetaceae,2.20%,0.00%,0.00%,0.96%,0.00%,0.00%,0.05%,0.05%,0.96%,0.18%,0.24%,0.08%,0.08%,0.07%,0.50%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.87.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,3.11%,0.00%,0.01%,0.94%,0.00%,0.00%,0.66%,0.13%,0.07%,0.13%,0.01%,0.94%,0.27%,0.80%,0.11%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.45.contigs,d__Bacteria,p__Desulfobacterota_F,c__Desulfuromonadia,o__Desulfuromonadales,f__Geopsychrobacteraceae,1.93%,0.00%,0.00%,0.89%,0.00%,0.00%,0.01%,0.01%,0.78%,0.16%,0.01%,0.01%,0.02%,0.04%,0.89%,0.00%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.63.contigs,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,2.10%,0.00%,0.00%,0.89%,0.00%,0.00%,0.12%,0.89%,0.00%,0.00%,0.00%,0.28%,0.73%,0.05%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.51.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,4.96%,0.00%,0.01%,0.83%,0.00%,0.01%,0.49%,0.64%,0.33%,0.21%,0.26%,0.82%,0.78%,0.83%,0.60%,0.00%,0.00%,0.00%,0.00%,0.84%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.5.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,1.45%,0.02%,0.00%,0.82%,0.01%,0.00%,0.82%,0.11%,0.13%,0.04%,0.01%,0.11%,0.11%,0.08%,0.01%,0.00%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.50.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__PWYM01,f__PWYM01,1.65%,0.00%,0.00%,0.82%,0.00%,0.00%,0.01%,0.04%,0.49%,0.04%,0.05%,0.01%,0.15%,0.04%,0.82%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.37.contigs,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfomicrobiaceae,1.35%,0.01%,0.01%,0.82%,0.00%,0.00%,0.11%,0.07%,0.01%,0.05%,0.82%,0.13%,0.05%,0.01%,0.09%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.61.contigs,d__Bacteria,p__Bipolaricaulota,c__Bipolaricaulia,o__,f__,0.93%,0.00%,0.00%,0.81%,0.00%,0.00%,0.00%,0.00%,0.81%,0.01%,0.00%,0.00%,0.00%,0.02%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.4.contigs,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,1.03%,0.00%,0.00%,0.77%,0.00%,0.00%,0.00%,0.01%,0.14%,0.05%,0.01%,0.00%,0.00%,0.04%,0.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.45.contigs,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halanaerobiales,f__Halanaerobiaceae,2.21%,0.01%,0.00%,0.76%,0.00%,0.00%,0.20%,0.17%,0.31%,0.16%,0.76%,0.29%,0.10%,0.08%,0.12%,0.01%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_H2O_MG_DASTool_bins_metabat.29.contigs,d__Archaea,p__Nanohaloarchaeota,c__Nanosalinia,o__Nanosalinales,f__Nanosalinaceae,1.34%,0.00%,0.00%,0.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.76%,0.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_metabat.58.contigs,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__,1.71%,0.00%,0.00%,0.76%,0.00%,0.00%,0.03%,0.01%,0.76%,0.06%,0.00%,0.02%,0.14%,0.36%,0.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.18.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,0.80%,0.00%,0.00%,0.76%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.32.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,1.67%,0.00%,0.01%,0.73%,0.00%,0.01%,0.00%,0.26%,0.16%,0.08%,0.05%,0.01%,0.25%,0.11%,0.73%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.119.contigs,d__Bacteria,p__Thermotogota,c__Thermotogae,o__MWEM01,f__,1.90%,0.00%,0.00%,0.73%,0.00%,0.00%,0.18%,0.16%,0.73%,0.19%,0.08%,0.09%,0.32%,0.04%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.11.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,1.39%,0.00%,0.00%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.69%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.88.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,0.99%,0.00%,0.00%,0.67%,0.00%,0.00%,0.00%,0.13%,0.00%,0.16%,0.67%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.26.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,1.51%,0.03%,0.01%,0.67%,0.02%,0.00%,0.67%,0.08%,0.02%,0.11%,0.10%,0.27%,0.05%,0.20%,0.02%,0.00%,0.00%,0.00%,0.00%,0.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_concoct_out.45.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,1.28%,0.01%,0.00%,0.66%,0.01%,0.00%,0.00%,0.00%,0.01%,0.02%,0.00%,0.00%,0.00%,0.01%,0.02%,0.00%,0.00%,0.66%,0.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.58.contigs,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__,2.05%,0.00%,0.00%,0.66%,0.00%,0.00%,0.39%,0.50%,0.05%,0.00%,0.00%,0.37%,0.66%,0.02%,0.04%,0.01%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.6.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,1.23%,0.04%,0.03%,0.65%,0.02%,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.55%,0.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.01%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.21.contigs,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,2.15%,0.00%,0.00%,0.65%,0.00%,0.00%,0.65%,0.10%,0.04%,0.28%,0.14%,0.61%,0.09%,0.19%,0.05%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.6.contigs,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,2.80%,0.02%,0.01%,0.65%,0.01%,0.01%,0.65%,0.26%,0.10%,0.29%,0.17%,0.56%,0.31%,0.39%,0.07%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_maxbin.001.contigs,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Nanopelagicales,f__S36-B12,0.82%,0.00%,0.01%,0.64%,0.00%,0.00%,0.00%,0.00%,0.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,65.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.98.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__GCA-2748055,1.02%,0.00%,0.00%,0.63%,0.00%,0.00%,0.01%,0.02%,0.03%,0.25%,0.63%,0.02%,0.01%,0.01%,0.03%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.48.contigs,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__BM714,1.11%,0.00%,0.00%,0.62%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.41%,0.02%,0.03%,0.62%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.30.contigs,d__Bacteria,p__Desulfobacterota_F,c__Desulfuromonadia,o__Desulfuromonadales,f__BM103,2.38%,0.04%,0.01%,0.61%,0.01%,0.00%,0.21%,0.35%,0.11%,0.21%,0.22%,0.20%,0.61%,0.27%,0.19%,0.00%,0.00%,0.00%,0.00%,0.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.34.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,3.11%,0.01%,0.07%,0.59%,0.01%,0.03%,0.14%,0.42%,0.31%,0.42%,0.28%,0.20%,0.48%,0.26%,0.59%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.01%,0.03%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.32.contigs,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__SURF-3,0.73%,0.00%,0.00%,0.59%,0.00%,0.00%,0.00%,0.01%,0.59%,0.04%,0.01%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.52.contigs,d__Bacteria,p__Spirochaetota,c__UBA12135,o__UBA12135,f__,0.58%,0.00%,0.00%,0.57%,0.00%,0.00%,0.00%,0.00%,0.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.62.contigs,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfohalobiaceae,1.07%,0.00%,0.00%,0.56%,0.00%,0.00%,0.02%,0.03%,0.56%,0.09%,0.01%,0.00%,0.01%,0.02%,0.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.124.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,0.78%,0.00%,0.00%,0.55%,0.00%,0.00%,0.00%,0.00%,0.18%,0.01%,0.00%,0.00%,0.02%,0.02%,0.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.66.contigs,d__Bacteria,p__Krumholzibacteriota,c__Krumholzibacteria,o__Krumholzibacteriales,f__Krumholzibacteriaceae,0.57%,0.00%,0.00%,0.54%,0.00%,0.00%,0.00%,0.00%,0.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.118.contigs,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales_C,f__Alkalispirochaetaceae,0.77%,0.00%,0.00%,0.51%,0.00%,0.00%,0.01%,0.02%,0.01%,0.13%,0.51%,0.03%,0.05%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.78.contigs,d__Bacteria,p__Patescibacteria,c__ABY1,o__BM507,f__,1.34%,0.00%,0.00%,0.50%,0.00%,0.00%,0.13%,0.21%,0.00%,0.00%,0.00%,0.50%,0.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_concoct_out.43.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,1.08%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,0.18%,0.01%,0.50%,0.32%,0.00%,0.01%,0.01%,0.03%,0.00%,0.00%,0.00%,0.00%,0.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_concoct_out.67.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nitrococcales,f__Nitrococcaceae,1.34%,0.00%,0.00%,0.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.28%,0.31%,0.49%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_maxbin.022.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nitrococcales,f__Nitrococcaceae,0.90%,0.00%,0.00%,0.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_concoct_out.79.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,1.16%,0.00%,0.01%,0.49%,0.00%,0.00%,0.03%,0.06%,0.03%,0.04%,0.04%,0.02%,0.02%,0.03%,0.04%,0.36%,0.49%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.80.contigs,d__Bacteria,p__Spirochaetota,c__UBA4802,o__UBA4802,f__,1.26%,0.00%,0.00%,0.48%,0.00%,0.00%,0.02%,0.09%,0.48%,0.05%,0.03%,0.02%,0.02%,0.09%,0.47%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.15.contigs,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,0.97%,0.02%,0.00%,0.47%,0.01%,0.00%,0.47%,0.07%,0.02%,0.04%,0.02%,0.13%,0.08%,0.10%,0.02%,0.01%,0.01%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
